"variable","category","count","percentage"
"timestamp","2022-11-09 22:01:02.657",1,0.41
"timestamp","2022-11-09 22:09:27.206",1,0.41
"timestamp","2022-11-09 22:09:40.531",1,0.41
"timestamp","2022-11-09 22:10:32.873",1,0.41
"timestamp","2022-11-09 22:15:27.702",1,0.41
"timestamp","2022-11-09 22:21:15.229",1,0.41
"timestamp","2022-11-09 22:39:06.162",1,0.41
"timestamp","2022-11-09 22:47:01.701",1,0.41
"timestamp","2022-11-09 22:57:27.33",1,0.41
"timestamp","2022-11-09 23:10:58.665",1,0.41
"timestamp","2022-11-10 09:27:28.263",1,0.41
"timestamp","2022-11-10 10:17:07.488",1,0.41
"timestamp","2022-11-10 11:25:13.022",1,0.41
"timestamp","2022-11-10 11:25:38.026",1,0.41
"timestamp","2022-11-10 11:38:21.961",1,0.41
"timestamp","2022-11-10 11:42:13.096",1,0.41
"timestamp","2022-11-10 11:49:55.179",1,0.41
"timestamp","2022-11-10 13:19:37.989",1,0.41
"timestamp","2022-11-10 13:26:35.84",1,0.41
"timestamp","2022-11-10 13:31:39.464",1,0.41
"timestamp","2022-11-10 13:33:33.123",1,0.41
"timestamp","2022-11-10 14:03:42.785",1,0.41
"timestamp","2022-11-10 14:05:53.55",1,0.41
"timestamp","2022-11-10 14:07:21.321",1,0.41
"timestamp","2022-11-10 14:09:27.277",1,0.41
"timestamp","2022-11-10 14:11:14.366",1,0.41
"timestamp","2022-11-10 14:13:05.077",1,0.41
"timestamp","2022-11-10 16:00:44.34",1,0.41
"timestamp","2022-11-10 16:40:06.775",1,0.41
"timestamp","2022-11-10 16:44:47.024",1,0.41
"timestamp","2022-11-10 17:49:35.116",1,0.41
"timestamp","2022-11-10 20:50:47.169",1,0.41
"timestamp","2022-11-10 22:35:14.052",1,0.41
"timestamp","2022-11-10 23:04:37.392",1,0.41
"timestamp","2022-11-10 23:26:49.841",1,0.41
"timestamp","2022-11-10 23:31:06.863",1,0.41
